System,Industry_code,Company_Name,Manual_Category
NAICS,443142,3 MOBILE TELECOM PTE. LTD.,3 MOBILE TELECOM PTE. LTD.
NAICS,453998,3 MOBILE TELECOM PTE. LTD.,3 MOBILE TELECOM PTE. LTD.
NAICS,424210,A. MENARINI ASIA-PACIFIC PTE. LTD.,A. MENARINI ASIA-PACIFIC PTE. LTD.
NAICS,424210,A. MENARINI ASIA-PACIFIC HOLDINGS PTE. LTD.,A. MENARINI ASIA-PACIFIC PTE. LTD.
NAICS,424210,A. MENARINI SINGAPORE PTE. LTD.,A. MENARINI SINGAPORE PTE. LTD.
NAICS,311225,ADEKA (SINGAPORE) PTE. LTD.,ADEKA (SINGAPORE) PTE. LTD.
NAICS,423910,ADIDAS SINGAPORE PTE LTD,ADIDAS SINGAPORE PTE LTD
NAICS,424910,ADM ASIA-PACIFIC TRADING PTE. LTD.,ADM ASIA-PACIFIC TRADING PTE. LTD.
NAICS,424990,ADM ASIA-PACIFIC TRADING PTE. LTD.,ADM ASIA-PACIFIC TRADING PTE. LTD.
NAICS,423610,ARROW ELECTRONICS ASIA (S) PTE. LTD.,ARROW ELECTRONICS ASIA (S) PTE. LTD.
NAICS,423690,ARROW ELECTRONICS (S) PTE LTD,ARROW ELECTRONICS (S) PTE LTD
NAICS,311351,DELFI LIMITED,DELFI LIMITED
NAICS,311999,DELFI LTD.,DELFI LIMITED
NAICS,311920,FOOD EMPIRE HOLDINGS LTD.,FOOD EMPIRE HOLDINGS LTD.
NAICS,311999,FOOD EMPIRE HOLDINGS LIMITED,FOOD EMPIRE HOLDINGS LTD.
NAICS,311999,HANWELL HOLDINGS LIMITED,HANWELL HOLDINGS LIMITED
NAICS,325611,HANWELL HOLDINGS LTD.,HANWELL HOLDINGS LIMITED
NAICS,325510,HEMPEL (SINGAPORE) PTE. LTD.,HEMPEL (SINGAPORE) PTE. LTD.
NAICS,448190,HERMES SINGAPORE (RETAIL) PTE LTD,HERMES SINGAPORE (RETAIL) PTE LTD
NAICS,812990,HEWLETT-PACKARD ASIA PACIFIC PTE. LTD.,HEWLETT-PACKARD ASIA PACIFIC PTE. LTD.
NAICS,812990,HEWLETT-PACKARD SINGAPORE (SALES) PTE. LTD.,HEWLETT-PACKARD SINGAPORE (SALES) PTE. LTD.
NAICS,311421,HOSEN GROUP LIMITED,HOSEN GROUP LIMITED
NAICS,424410,HOSEN GROUP LTD.,HOSEN GROUP LIMITED
